Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,36561,0,180.0,181.62712365435573,3.961886999604758,379.7846480001681,28.0,538.9401203579216,0.0,180,180,190,190,210,230,250,270,300,320,380
,Aggregated,36561,0,180.0,181.62712365435573,3.961886999604758,379.7846480001681,28.0,538.9401203579216,0.0,180,180,190,190,210,230,250,270,300,320,380
