Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,62776,0,48,48.75507976073475,12.71169500068936,139.0230930010148,28.0,805.3675549968813,0.0,48,49,51,51,53,55,58,61,74,130,140
,Aggregated,62776,0,48,48.75507976073475,12.71169500068936,139.0230930010148,28.0,805.3675549968813,0.0,48,49,51,51,53,55,58,61,74,130,140
