Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,33079,0,370.0,371.0044756700663,8.610486998804845,611.1754060002568,28.0,529.0153540656847,0.0,370,380,390,400,410,440,460,480,510,590,610
,Aggregated,33079,0,370.0,371.0044756700663,8.610486998804845,611.1754060002568,28.0,529.0153540656847,0.0,370,380,390,400,410,440,460,480,510,590,610
